"lako1"	"lako2"	"lako3"	"lako4"
"TMEM35B"	379	381	253	658
"ZMYM6"	233	118	190	361
"ZMYM1"	161	96	101	262
"AL590434.1"	3	9	7	5
"SFPQ"	4055	1693	3030	5169
"ZMYM4"	421	228	274	691
"KIAA0319L"	289	143	201	507
"NCDN"	47	21	34	83
"AC004865.2"	3	5	2	2
"TFAP2E"	3	2	0	6
"PSMB2"	1583	1085	1200	2793
"C1orf216"	90	23	30	59
"CLSPN"	70	24	29	169
"AGO4"	99	87	78	179
"AGO1"	128	90	104	287
"AL139286.3"	4	6	6	10
"AL139286.2"	1	0	2	5
"AGO3"	478	343	487	764
"TEKT2"	5	2	1	6
"ADPRHL2"	452	189	241	476
"COL8A2"	13	14	8	20
"TRAPPC3"	1142	638	943	1648
"MAP7D1"	882	735	1263	1138
"THRAP3"	1662	905	1140	2504
"SH3D21"	247	76	116	342
"EVA1B"	284	202	245	292
"AL591845.1"	3	4	4	18
"STK40"	146	182	389	284
"LSM10"	647	366	240	889
"OSCP1"	76	35	39	98
"MRPS15"	1146	775	745	1752
"CSF3R"	2	0	0	0
"GRIK3"	0	0	0	1
"AL031430.1"	0	0	0	0
"AL353604.1"	5	4	3	6
"LINC01137"	51	52	25	76
"ZC3H12A"	875	1294	1759	1777
"MEAF6"	1245	799	942	1667
"SNIP1"	550	302	418	555
"DNALI1"	25	24	30	55
"GNL2"	644	300	396	629
"RSPO1"	0	0	0	0
"C1orf109"	283	118	144	313
"CDCA8"	121	56	54	117
"EPHA10"	1	0	1	2
"MANEAL"	15	8	14	10
"YRDC"	471	260	299	505
"C1orf122"	1320	669	621	1746
"MTF1"	228	136	191	247
"AL929472.2"	4	4	0	0
"INPP5B"	52	33	32	80
"SF3A3"	793	368	441	1051
"FHL3"	163	74	136	254
"UTP11"	787	531	552	1243
"POU3F1"	255	89	189	445
"MIR3659HG"	13	21	14	32
"RRAGC"	979	502	835	1186
"AL139260.1"	29	14	26	31
"MYCBP"	529	336	338	907
"GJA9"	14	9	8	13
"RHBDL2"	174	94	95	271
"AKIRIN1"	1005	848	1175	1354
"NDUFS5"	3811	4274	3213	8286
"MACF1"	3323	2085	2800	5268
"AL356055.1"	7	7	13	14
"AL442071.2"	5	6	6	7
"BMP8A"	7	2	4	3
"PABPC4"	798	507	1106	1214
"PABPC4-AS1"	1	3	1	0
"HEYL"	7	2	1	6
"HPCAL4"	0	0	0	2
"PPIE"	612	381	401	952
