"HC7"	"HC6"
"PRKAB2"	28	24
"AC242426.2"	2	10
"FMO5"	4	5
"CHD1L"	39	43
"LINC00624"	0	0
"BCL9"	12	4
"ACP6"	10	9
"GJA5"	0	0
"GPR89B"	10	9
"AC239803.3"	0	0
"NBPF11"	9	6
"AC239809.3"	0	0
"AC245100.7"	1	0
"NBPF14"	15	12
"NUDT4B"	0	0
"PDE4DIP"	61	72
"NBPF9"	5	4
"AC245297.3"	25	50
"AC245297.2"	1	2
"NBPF19"	13	7
"FCGR1A"	0	0
"HIST2H2BF"	2	8
"AC243772.2"	3	0
"HIST2H4A"	0	2
"AC239868.3"	8	5
"HIST2H2AA4"	0	1
"HIST2H4B"	0	0
"AC239868.2"	6	1
"HIST2H2BE"	9	23
"HIST2H2AC"	22	21
"HIST2H2AB"	1	0
"BOLA1"	50	57
"SV2A"	1	1
"SF3B4"	100	74
"MTMR11"	26	18
"OTUD7B"	10	20
"VPS45"	10	27
"PLEKHO1"	15	0
"ANP32E"	324	191
"AC242988.1"	1	1
"CA14"	1	0
"APH1A"	165	149
"C1orf54"	3	1
"CIART"	61	58
"MRPS21"	243	233
"PRPF3"	37	41
"RPRD2"	36	35
"TARS2"	16	13
"ECM1"	27	29
"FALEC"	1	1
"AL356356.1"	1	0
"ADAMTSL4"	3	0
"MCL1"	571	318
"ENSA"	516	545
"GOLPH3L"	15	26
"HORMAD1"	6	0
"CTSS"	7	3
"CTSK"	39	24
"ARNT"	15	19
"SETDB1"	8	9
"CERS2"	50	65
"ANXA9"	0	0
"MINDY1"	4	10
"PRUNE1"	9	6
"BNIPL"	42	39
"C1orf56"	25	30
"CDC42SE1"	67	75
"MLLT11"	4	6
"GABPB2"	34	28
"SEMA6C"	4	3
"TNFAIP8L2"	2	0
"SCNM1"	45	42
"LYSMD1"	3	3
"VPS72"	45	55
"PIP5K1A"	35	25
"PSMD4"	224	206
"AL391069.2"	1	1
"ZNF687"	4	12
"PI4KB"	30	43
"RFX5"	7	10
"AL391069.3"	0	0
"SELENBP1"	14	20
"PSMB4"	286	214
"POGZ"	54	59
"CGN"	0	3
"TUFT1"	56	42
"SNX27"	43	37
"MRPL9"	88	101
"OAZ3"	4	1
"TDRKH"	10	3
"TDRKH-AS1"	0	2
"RORC"	19	17
"C2CD4D"	1	2
"THEM5"	9	14
"THEM4"	11	20
"S100A10"	3959	1994
"AL450992.1"	0	1
"S100A11"	3939	1896
"TCHH"	14	5
"FLG-AS1"	0	0
"FLG"	18	2
"FLG2"	0	0
"CRNN"	0	0
"LCE3D"	0	0
"C1orf68"	2	0
"KPRP"	0	0
"LCE1C"	19	15
"IVL"	2	0
"SPRR1B"	11	0
"SPRR2D"	2	0
"SPRR2A"	0	0
"SPRR2E"	0	0
"LOR"	0	0
"PGLYRP3"	0	0
"PGLYRP4"	0	6
"S100A9"	42	22
"S100A12"	0	0
"S100A8"	22	4
"S100A7"	3	4
"BX470102.1"	3	0
"S100A6"	1637	933
"S100A5"	1	2
"S100A4"	594	214
"S100A3"	12	9
"S100A2"	5204	2737
"S100A16"	893	891
"S100A14"	1960	1710
"S100A13"	141	101
"S100A1"	4	3
"AL162258.2"	2	1
"CHTOP"	71	80
"SNAPIN"	68	59
"ILF2"	428	327
"NPR1"	0	0
"INTS3"	22	20
"SLC27A3"	69	58
"GATAD2B"	38	36
"AL358472.5"	1	0
"DENND4B"	8	6
"CRTC2"	31	17
"SLC39A1"	108	107
"AL358472.4"	7	9
"AL358472.3"	0	0
"CREB3L4"	21	24
"JTB"	208	196
"AL358472.2"	0	1
"RAB13"	260	287
"RPS27"	9845	4637
"NUP210L"	0	2
"TPM3"	287	271
"C1orf43"	156	205
"UBAP2L"	42	36
"HAX1"	196	173
"AQP10"	2	0
"ATP8B2"	5	1
"IL6R-AS1"	0	1
"IL6R"	26	22
"SHE"	0	0
"AL162591.2"	0	0
"TDRD10"	0	0
"UBE2Q1"	48	53
"ADAR"	49	49
"KCNN3"	1	0
"PMVK"	200	249
"AL451085.1"	1	16
"PBXIP1"	26	22
"PYGO2"	14	15
"AL451085.2"	1	5
"SHC1"	24	28
"CKS1B"	298	250
"FLAD1"	39	39
"ZBTB7B"	86	91
"DCST2"	2	1
"DCST1"	0	0
"DCST1-AS1"	12	13
"ADAM15"	112	85
"EFNA4"	48	43
"EFNA3"	75	52
"EFNA1"	195	136
"SLC50A1"	40	33
"DPM3"	71	46
"KRTCAP2"	115	62
"TRIM46"	0	1
"MUC1"	2	0
"AC234582.1"	0	1
"THBS3"	7	9
"MTX1"	92	61
"GBA"	15	9
"FAM189B"	15	13
"SCAMP3"	42	29
"CLK2"	14	5
"HCN3"	1	4
"PKLR"	0	0
"FDPS"	178	162
"RUSC1-AS1"	0	0
"RUSC1"	53	39
"ASH1L"	154	138
"ASH1L-AS1"	2	10
"MSTO1"	13	12
"YY1AP1"	32	40
"DAP3"	102	91
"GON4L"	41	59
"SYT11"	0	1
"RIT1"	34	21
"KHDC4"	27	46
"ARHGEF2"	10	4
"AL355388.2"	0	0
"SSR2"	344	361
"UBQLN4"	17	19
"LAMTOR2"	135	136
"RAB25"	186	196
"MEX3A"	8	1
"LMNA"	1571	1136
"SEMA4A"	91	73
"SLC25A44"	35	3
"PMF1"	143	148
"BGLAP"	1	0
"PAQR6"	5	11
"SMG5"	15	11
"TMEM79"	62	42
"GLMP"	15	12
"CCT3"	361	331
"TSACC"	0	1
"RHBG"	0	0
"C1orf61"	5	0
"AL139412.1"	2	5
"MEF2D"	35	14
"IQGAP3"	13	3
"NAXE"	92	98
"GPATCH4"	71	64
"AL365181.4"	0	0
"HAPLN2"	0	0
"BCAN"	2	0
"NES"	0	0
"AL590666.3"	0	0
"CRABP2"	50	25
"ISG20L2"	38	31
"RRNAD1"	28	36
"MRPL24"	95	83
"HDGF"	338	261
"PRCC"	50	54
"SH2D2A"	4	4
"PEAR1"	0	0
"ARHGEF11"	12	11
"ETV3"	66	45
"FCRL5"	0	0
"FCRL3"	0	0
"FCRL2"	0	0
"KIRREL1"	5	6
"LINC01704"	0	0
"CD1D"	0	0
"AL138899.1"	0	0
"CD1A"	1	1
"CD1C"	0	1
"CD1B"	0	1
"CD1E"	0	0
"SPTA1"	0	0
"MNDA"	0	3
"PYHIN1"	0	0
"IFI16"	216	209
"AIM2"	0	0
"CADM3"	4	0
"CADM3-AS1"	0	0
"ACKR1"	1	2
"FCER1A"	2	4
"DUSP23"	183	159
"FCRL6"	0	0
"SLAMF8"	0	0
"AL590560.1"	0	1
"VSIG8"	57	48
"AL590560.2"	0	1
"CFAP45"	13	13
"TAGLN2"	1051	816
"IGSF9"	30	31
"SLAMF9"	0	0
"LINC01133"	146	111
"KCNJ10"	0	0
"PIGM"	13	14
"IGSF8"	162	138
"ATP1A2"	0	0
"AL121987.2"	0	0
"PEA15"	34	26
"DCAF8"	38	35
"AL139011.2"	0	0
"PEX19"	26	23
"COPA"	52	54
"NCSTN"	29	43
"NHLH1"	1	1
"VANGL2"	13	12
"SLAMF6"	0	0
"CD84"	0	0
"SLAMF1"	0	0
"AL121985.1"	1	0
"CD48"	1	1
"SLAMF7"	0	0
"LY9"	0	0
"CD244"	0	1
"ITLN2"	0	0
"F11R"	42	35
"TSTD1"	223	252
"USF1"	8	19
"ARHGAP30"	4	6
"NECTIN4"	26	32
"KLHDC9"	4	6
"PFDN2"	261	178
"NIT1"	41	56
"DEDD"	22	12
"UFC1"	246	222
"USP21"	6	7
"PPOX"	14	25
"B4GALT3"	24	25
"ADAMTS4"	30	7
"NDUFS2"	198	179
"FCER1G"	3	1
"TOMM40L"	2	5
"NR1I3"	1	0
"PCP4L1"	0	0
"MPZ"	2	0
"SDHC"	170	161
"CFAP126"	2	0
"AL592295.4"	0	0
"FCGR2A"	3	2
"HSPA6"	35	68
"FCGR3A"	0	0
"FCGR3B"	0	0
"FCGR2B"	1	1
"FCRLB"	2	2
"DUSP12"	41	31
"AL359541.1"	2	1
"ATF6"	40	36
"OLFML2B"	3	0
"NOS1AP"	20	16
"C1orf226"	9	3
"UHMK1"	54	69
"AL596325.1"	0	0
"UAP1"	139	39
"DDR2"	5	4
"HSD17B7"	28	26
"RGS4"	0	0
"RGS5"	1	1
"RGS5.1"	3	1
"NUF2"	117	71
"PBX1"	27	24
"AL357568.1"	0	0
"LMX1A"	0	0
"RXRG"	0	0
"AL356441.1"	0	0
"MGST3"	674	580
"ALDH9A1"	97	182
"TMCO1"	156	121
"AL451074.2"	0	0
"UCK2"	19	10
"FAM78B"	2	0
"POGK"	27	39
"TADA1"	15	10
"AL451050.2"	3	4
"POU2F1"	24	7
"CD247"	1	0
"CREG1"	86	104
"RCSD1"	2	0
"MPZL1"	56	50
"ADCY10"	0	0
"MPC2"	299	227
"DCAF6"	75	75
"GPR161"	12	7
"TIPRL"	118	105
"SFT2D2"	33	39
"TBX19"	0	1
"XCL2"	0	0
"XCL1"	2	0
"DPT"	17	0
"ATP1B1"	45	25
"NME7"	25	27
"BLZF1"	40	36
"SLC19A2"	4	11
"AL021068.1"	2	1
"F5"	0	0
"SELP"	0	0
"C1orf112"	10	17
"SELL"	0	0
"SELE"	0	0
"METTL18"	9	22
"SCYL3"	13	14
"KIFAP3"	40	25
"LINC01142"	0	0
"GORAB"	7	11
"PRRX1"	18	1
"Z97200.1"	0	0
"FMO3"	0	0
"FMO2"	0	0
"FMO1"	38	36
"FMO4"	7	13
"PRRC2C"	404	324
"MYOCOS"	0	0
"MYOC"	1	0
"VAMP4"	31	34
"METTL13"	24	25
"DNM3"	5	7
"DNM3OS"	1	0
"PIGC"	94	75
"SUCO"	57	40
"FASLG"	0	0
"AL031599.1"	0	0
"TNFSF18"	0	0
"TNFSF4"	0	0
"AL645568.1"	2	3
"PRDX6"	527	490
"ANKRD45"	0	1
"KLHL20"	22	31
"CENPL"	42	53
"DARS2"	6	8
"GAS5-AS1"	0	0
"ZBTB37"	9	7
"RC3H1"	29	24
"AL121983.1"	2	0
"AL121983.2"	0	1
"RABGAP1L"	39	28
"CACYBP"	260	259
"MRPS14"	51	58
"TNN"	0	1
"KIAA0040"	46	17
"COP1"	39	34
"AL590723.1"	0	0
"AL359265.3"	0	0
"PAPPA2"	0	0
"ASTN1"	0	0
"SEC16B"	1	1
"RASAL2-AS1"	0	0
"RASAL2"	58	40
"C1orf220"	4	3
"AL137796.1"	0	0
"RALGPS2"	43	33
"ANGPTL1"	3	0
"FAM20B"	13	23
"TOR3A"	53	56
"ABL2"	17	8
"SOAT1"	1	3
"TDRD5"	1	0
"AL359853.1"	1	0
"TOR1AIP2"	127	120
"AL353708.3"	2	2
"TOR1AIP1"	37	15
"AL353708.1"	1	2
"CEP350"	99	73
"QSOX1"	23	9
"LHX4"	1	1
"ACBD6"	103	97
"XPR1"	17	7
"KIAA1614"	2	0
"AL162431.2"	2	0
"KIAA1614-AS1"	0	1
"STX6"	23	19
"MR1"	19	22
"IER5"	331	157
"GLUL"	222	205
"RNASEL"	7	15
"RGS16"	178	89
"LINC01686"	0	0
"NPL"	21	16
"DHX9"	108	95
"LAMC1"	28	10
"LAMC2"	42	24
"NMNAT2"	2	2
"SMG7"	17	18
"NCF2"	2	3
"ARPC5"	381	345
"RGL1"	11	9
"COLGALT2"	0	0
"TSEN15"	31	29
"AL445228.2"	0	1
"C1orf21"	310	284
"EDEM3"	15	14
"FAM129A"	19	22
"RNF2"	21	24
"TRMT1L"	4	9
"SWT1"	8	2
"IVNS1ABP"	194	113
"AL078644.2"	1	3
"AL133383.1"	1	2
"HMCN1"	13	2
"PRG4"	1	0
"TPR"	328	306
"ODR4"	44	43
"OCLM"	0	0
"PTGS2"	52	24
"PACERR"	1	2
"PLA2G4A"	17	15
"ERVMER61-1"	0	0
"RGS18"	0	0
"AL390957.1"	2	2
"AL136987.1"	0	0
"RGS1"	0	4
"RGS13"	0	0
"AL136454.1"	28	13
"RGS2"	66	78
"UCHL5"	59	50
"TROVE2"	83	87
"GLRX2"	50	42
"CDC73"	83	64
"B3GALT2"	0	0
"LINC01031"	0	0
"LINC01724"	0	0
"KCNT2"	0	0
"CFH"	16	0
"CFHR1"	1	0
"ASPM"	309	154
"ZBTB41"	8	19
"CRB1"	0	0
"DENND1B"	11	10
"C1orf53"	4	5
"NEK7"	29	20
"PTPRC"	5	4
"MIR181A1HG"	0	1
"NR5A2"	0	0
"LINC00862"	1	1
"ZNF281"	23	17
"KIF14"	35	24
"DDX59"	39	51
"AL445483.1"	1	1
"CAMSAP2"	64	33
"INAVA"	36	23
"KIF21B"	0	0
"ASCL5"	0	0
"TMEM9"	35	56
"IGFN1"	0	0
"PKP1"	401	335
"TNNT2"	10	3
"LAD1"	175	191
"PHLDA3"	85	103
"CSRP1"	117	83
"AC096677.1"	1	2
"NAV1"	20	3
"IPO9-AS1"	1	3
"AL645504.1"	0	0
"IPO9"	38	52
"SHISA4"	15	18
"LMOD1"	0	0
"TIMM17A"	70	66
"RNPEP"	102	111
"ELF3"	7	11
"ARL8A"	70	65
"PTPN7"	2	1
"LGR6"	8	8
"UBE2T"	118	136
"PPP1R12B"	21	20
"AC104463.2"	0	0
"KDM5B"	44	57
"AC098934.4"	0	2
"PCAT6"	5	11
"RABIF"	19	33
"KLHL12"	22	17
"ADIPOR1"	144	124
"CYB5R1"	349	334
"TMEM183A"	90	92
"PPFIA4"	1	0
"ADORA1"	0	1
"CHI3L1"	1	4
"CHIT1"	1	0
"LINC01353"	1	2
"LINC01136"	3	2
"BTG2"	995	303
"FMOD"	4	0
"PRELP"	1	2
"ATP2B4"	89	52
"LAX1"	0	0
"ZC3H11A"	3	0
"ZBED6"	3	0
"SNRPE"	351	294
"SOX13"	1	0
"ETNK2"	5	4
"PLEKHA6"	0	0
"PPP1R15B"	31	24
"PIK3C2B"	10	11
"MDM4"	76	113
"AL512306.3"	0	0
"LRRN2"	0	0
"NFASC"	3	6
"CNTN2"	0	0
"TMEM81"	4	3
"RBBP5"	40	21
"DSTYK"	17	29
"TMCC2"	4	3
"NUAK2"	18	5
"LEMD1"	0	0
"CDK18"	2	8
"MFSD4A"	1	2
"ELK4"	30	37
"SLC45A3"	0	0
"NUCKS1"	874	804
"RAB29"	11	15
"SLC41A1"	28	12
"SLC26A9"	0	0
"RAB7B"	24	43
"RHEX"	1	1
"FAM72A"	0	2
"SRGAP2"	20	24
"IKBKE"	4	2
"AC244034.2"	0	0
"RASSF5"	22	10
"EIF2D"	65	83
"AL591846.2"	5	7
"DYRK3"	7	1
"MAPKAPK2"	53	30
"IL10"	0	0
"IL19"	0	0
"IL20"	32	2
"IL24"	0	0
"FCMR"	0	2
"PIGR"	0	0
"C1orf116"	31	9
"PFKFB2"	10	5
"YOD1"	11	17
"AL596218.1"	1	0
"CD55"	388	147
"CR1"	0	0
"CD46"	151	135
"MIR29B2CHG"	15	12
"CD34"	4	2
"AL356275.1"	0	3
"PLXNA2"	20	4
"CAMK1G"	0	0
"LAMB3"	197	103
"AL031316.1"	0	0
"G0S2"	10	4
"HSD11B1"	3	1
"TRAF3IP3"	4	2
"C1orf74"	15	11
"IRF6"	171	89
"UTP25"	19	14
"SERTAD4-AS1"	35	17
"SERTAD4"	70	63
"HHAT"	6	9
"AL590132.1"	1	0
"RCOR3"	45	50
"TRAF5"	12	5
"LINC00467"	19	21
"SLC30A1"	30	22
"NEK2"	32	28
"LPGAT1"	51	44
"INTS7"	12	22
"DTL"	17	22
"AL451060.1"	0	0
"PPP2R5A"	61	52
"AL360091.3"	0	1
"TMEM206"	3	7
"NENF"	328	263
"AC092803.2"	3	6
"ATF3"	1447	327
"FAM71A"	0	1
"AL590648.3"	0	0
"BATF3"	0	0
"NSL1"	76	78
"TATDN3"	19	23
"FLVCR1-DT"	3	11
"FLVCR1"	18	9
"VASH2"	1	2
"ANGEL2"	30	21
"RPS6KC1"	13	15
"PROX1"	3	1
"AC011700.1"	1	2
"SMYD2"	69	44
"PTPN14"	102	72
"CENPF"	497	411
"KCNK2"	0	0
"KCTD3"	51	64
"ESRRG"	1	0
"GPATCH2"	63	46
"SPATA17"	4	3
"RRP15"	103	69
"TGFB2"	11	20
"LYPLAL1"	117	121
"AC096642.1"	0	0
"AL513283.1"	0	1
"ZC3H11B"	0	1
"SLC30A10"	0	0
"EPRS"	124	125
"BPNT1"	15	26
"IARS2"	109	87
"RAB3GAP2"	33	17
"MARK1"	7	1
"C1orf115"	5	2
"MARC2"	0	5
"MARC1"	1	2
"HLX-AS1"	0	0
"HLX"	1	0
"DUSP10"	6	2
"AL513314.2"	0	1
"HHIPL2"	0	0
"TAF1A"	7	3
"TAF1A-AS1"	0	2
"MIA3"	78	82
"AL592148.3"	0	0
"AIDA"	35	45
"BROX"	67	75
"FAM177B"	0	1
"AL392172.1"	22	23
"DISP1"	7	6
"TLR5"	5	7
"SUSD4"	0	3
"CAPN8"	0	0
"CAPN2"	52	53
"TP53BP2"	26	11
"FBXO28"	35	42
"DEGS1"	1265	1268
"AC092809.4"	11	16
"NVL"	32	30
"CNIH4"	173	133
"WDR26"	39	36
"CNIH3"	2	1
"AL596330.1"	0	0
"DNAH14"	3	2
"LBR"	57	45
"ENAH"	100	60
"SRP9"	298	383
"EPHX1"	28	39
"AL591895.1"	2	7
"TMEM63A"	7	13
"LEFTY1"	0	0
"PYCR2"	38	49
"LEFTY2"	0	0
"SDE2"	33	25
"H3F3A"	3462	2900
"LINC01703"	3	5
"ACBD3"	114	87
"ACBD3-AS1"	1	1
"LIN9"	23	19
"PARP1"	130	98
"STUM"	1	0
"ITPKB"	11	2
"ITPKB-AS1"	0	1
"PSEN2"	1	1
"COQ8A"	35	52
"CDC42BPA"	30	33
"LINC01641"	0	2
"ZNF678"	10	12
"SNAP47"	26	29
"JMJD4"	14	16
"WNT9A"	0	0
"WNT3A"	13	17
"ARF1"	294	336
"C1orf35"	124	124
"MRPL55"	110	90
"GUK1"	1597	1168
"GJC2"	4	0
"IBA57"	26	40
"OBSCN-AS1"	1	0
"OBSCN"	4	5
"AL353593.1"	2	0
"AL670729.3"	0	0
"TRIM11"	19	28
"TRIM17"	1	3
"HIST3H2A"	27	37
"HIST3H2BB"	1	8
"RNF187"	139	147
"RHOU"	2	1
"RAB4A"	232	216
"AL117350.1"	0	0
"CCSAP"	30	13
"ACTA1"	0	1
"NUP133"	38	27
"ABCB10"	20	12
"TAF5L"	20	21
"URB2"	7	11
"GALNT2"	31	25
"AL136988.2"	0	0
"PGBD5"	2	0
"COG2"	30	33
"AGT"	0	0
"CAPN9"	0	0
"C1orf198"	8	14
"TTC13"	6	6
"ARV1"	55	74
"FAM89A"	103	85
"C1orf131"	70	72
"GNPAT"	17	37
"EXOC8"	14	13
"SPRTN"	30	51
"EGLN1"	96	96
"AL445524.1"	86	77
"TSNAX"	84	98
"DISC1"	2	0
"SIPA1L2"	8	7
"MAP10"	4	5
"NTPCR"	53	67
"PCNX2"	10	4
"MAP3K21"	8	8
"KCNK1"	17	13
"SLC35F3"	1	1
"AL355472.1"	4	7
"COA6"	90	99
"TARBP1"	11	19
"LINC01354"	0	0
"IRF2BP2"	153	120
"AL160408.2"	0	0
"AL160408.1"	0	0
"LINC01132"	2	4
"AL391832.2"	1	0
"AL391832.3"	0	0
"LINC01348"	1	0
"AL732292.2"	0	0
"TOMM20"	625	432
"RBM34"	5	8
"ARID4B"	142	128
"GGPS1"	40	53
"TBCE"	14	13
"TBCE.1"	2	4
"B3GALNT2"	36	34
"LYST"	64	44
"NID1"	4	0
"GPR137B"	23	15
"ERO1B"	25	8
"EDARADD"	15	16
"LGALS8"	51	41
"AL359921.2"	2	2
"AL359921.1"	0	1
"HEATR1"	22	25
"ACTN2"	0	0
"MTR"	49	59
"RYR2"	0	0
"MTRNR2L11"	0	0
"LINC01139"	6	1
"CHRM3"	0	0
"CHRM3-AS2"	0	0
"FMN2"	0	0
"GREM2"	0	0
"RGS7"	0	0
"AL359764.1"	0	0
"FH"	134	135
"KMO"	0	0
"OPN3"	7	5
"CHML"	16	18
"EXO1"	9	11
"MAP1LC3C"	0	0
"PLD5"	0	0
"CEP170"	25	12
"SDCCAG8"	150	80
"AKT3"	3	0
"ZBTB18"	9	5
"AL645465.1"	0	0
"ADSS"	143	93
"CATSPERE"	2	0
"DESI2"	97	81
"AL451007.2"	0	0
"COX20"	234	138
"HNRNPU"	839	712
"BX323046.1"	1	0
"AL356512.1"	1	0
"EFCAB2"	1	7
"KIF26B"	1	0
"SMYD3"	20	28
"TFB2M"	47	42
"CNST"	36	25
"AL591848.2"	0	0
"SCCPDH"	137	124
"AHCTF1"	46	37
"ZNF695"	0	1
"ZNF670-ZNF695"	0	0
"ZNF670"	4	14
"ZNF669"	10	17
"C1orf229"	0	0
"ZNF124"	6	6
"AL390728.6"	16	28
"AL390728.5"	0	0
"ZNF496"	11	4
"NLRP3"	0	0
"OR2B11"	0	0
"GCSAML"	0	0
"TRIM58"	0	0
"AC138089.1"	0	0
"OR2G6"	0	0
"AC098483.1"	0	0
"OR2T10"	1	0
"OR2T11"	1	0
"SH3BP5L"	8	9
"ZNF672"	19	10
"ZNF692"	10	16
"AL672291.1"	0	0
"PGBD2"	23	20
"FAM110C"	5	11
"SH3YL1"	194	297
"ACP1"	139	153
"ALKAL2"	0	0
"TMEM18"	119	96
"AC116609.3"	0	0
"AC116609.1"	1	0
"SNTG2"	0	0
"TPO"	0	0
"AC144450.1"	0	1
"PXDN"	2	0
"AC093390.2"	0	0
"AC093390.1"	0	0
"EIPR1"	22	19
"TRAPPC12"	61	83
"TRAPPC12-AS1"	0	0
"ADI1"	184	207
"AC231981.1"	1	2
"AC108488.1"	0	1
"RNASEH1"	37	48
"RNASEH1-AS1"	9	11
"RPS7"	8203	7017
"COLEC11"	1	0
"ALLC"	0	0
"DCDC2C"	1	0
"SOX11"	7	0
"CMPK2"	0	2
"RSAD2"	1	1
"RNF144A"	4	3
"AC010904.2"	0	0
"LINC01871"	0	0
"LINC01814"	0	0
"ID2-AS1"	1	1
"ID2"	357	238
"KIDINS220"	57	42
"MBOAT2"	3	3
"ASAP2"	48	45
"ITGB1BP1"	120	138
"CPSF3"	50	50
"IAH1"	117	123
"ADAM17"	51	29
"AC073195.1"	2	2
"YWHAQ"	432	414
"AC082651.1"	0	0
"AC082651.3"	6	2
"TAF1B"	63	35
"AC010969.2"	8	1
"GRHL1"	16	19
"AC104794.2"	26	14
"KLF11"	77	69
"AC104794.4"	0	0
"CYS1"	0	3
"RRM2"	38	106
"AC007240.1"	3	9
"C2orf48"	7	4
"HPCAL1"	27	27
"ODC1"	171	80
"AC007249.2"	0	0
"NOL10"	45	28
"RN7SL832P"	8	7
"ATP6V1C2"	0	0
"AC092687.3"	0	1
"PDIA6"	316	303
"PQLC3"	39	38
"ROCK2"	77	75
"E2F6"	15	14
"GREB1"	0	1
"LPIN1"	21	17
"TRIB2"	18	9
"AC016730.1"	1	1
"FAM84A"	42	34
"NBAS"	39	26
"DDX1"	154	128
"MYCNOS"	2	0
"MYCN"	3	4
"FAM49A"	0	3
"RAD51AP2"	4	7
"VSNL1"	71	72
"SMC6"	66	66
"GEN1"	30	39
"KCNS3"	18	45
"AC079148.1"	0	0
"RDH14"	53	51
"LINC01376"	1	2
"OSR1"	2	0
"LINC00954"	0	1
"TTC32"	46	78
"AC013400.1"	0	1
"WDR35"	4	3
"MATN3"	0	0
"LAPTM4A"	752	650
"AC098828.2"	0	0
"SDC1"	222	239
"PUM2"	67	55
"RHOB"	359	333
"HS1BP3"	18	16
"AC012065.3"	0	1
"GDF7"	0	0
"AC012065.4"	1	1
"LDAH"	12	10
"AC018742.1"	9	8
"KLHL29"	7	14
"AC009242.1"	1	1
"ATAD2B"	30	15
"UBXN2A"	45	41
"MFSD2B"	1	0
"WDCP"	5	13
"FKBP1B"	15	8
"SF3B6"	572	375
"FAM228B"	9	16
"TP53I3"	16	32
"PFN4"	0	3
"ITSN2"	59	42
"AC009228.1"	0	0
"NCOA1"	56	33
"PTRHD1"	179	171
"CENPO"	7	5
"ADCY3"	42	26
"DNAJC27"	19	16
"DNAJC27-AS1"	3	7
"EFR3B"	0	0
"POMC"	12	25
"DNMT3A"	10	14
"AC012074.1"	2	0
"DTNB"	9	14
"AC104699.1"	0	0
"ASXL2"	29	18
"KIF3C"	1	0
"RAB10"	218	168
"GAREM2"	1	4
"HADHA"	299	307
"HADHB"	176	177
"ADGRF3"	0	0
"SELENOI"	22	22
"OTOF"	0	0
"C2orf70"	0	0
"KCNK3"	0	0
"SLC35F6"	42	44
"CENPA"	103	87
"MAPRE3"	23	19
"TMEM214"	18	23
"AGBL5"	13	14
"AC013472.3"	0	0
"AC013403.2"	0	1
"OST4"	502	395
"EMILIN1"	5	0
"KHK"	25	24
"CGREF1"	2	7
"ABHD1"	1	1
"PREB"	16	29
"TCF23"	0	0
"SLC5A6"	7	17
"ATRAID"	267	286
"CAD"	14	19
"UCN"	0	0
"MPV17"	49	38
"GTF3C2"	14	20
"AC074117.1"	4	5
"EIF2B4"	45	40
"SNX17"	115	104
"ZNF513"	10	11
"PPM1G"	207	213
"NRBP1"	101	86
"KRTCAP3"	98	103
"IFT172"	10	17
"FNDC4"	2	7
"ZNF512"	8	12
"CCDC121"	8	11
"GPN1"	49	43
"SUPT7L"	21	22
"SLC4A1AP"	67	59
"MRPL33"	134	98
"RBKS"	4	7
"BABAM2"	28	50
"AC104695.2"	2	0
"FOSL2"	74	79
"AC104695.3"	16	8
"PLB1"	1	1
"AC092164.1"	3	1
"PPP1CB"	230	250
"SPDYA"	2	1
"TRMT61B"	38	41
"WDR43"	183	135
"TOGARAM2"	0	0
"CLIP4"	21	28
"AC016907.2"	0	0
"YPEL5"	103	71
"LBH"	25	8
"LINC01936"	0	0
"LCLAT1"	13	19
"CAPN13"	0	0
"GALNT14"	5	17
"EHD3"	2	1
"XDH"	2	3
"AL121652.1"	0	0
"MEMO1"	6	12
"DPY30"	178	157
"AL121655.1"	2	0
"SPAST"	25	26
"AL121658.1"	1	7
"SLC30A6"	7	16
"NLRC4"	1	0
"YIPF4"	73	85
"AL133245.1"	3	1
"BIRC6"	62	40
"TTC27"	32	28
"LTBP1"	5	5
"RASGRP3"	0	0
"FAM98A"	39	28
"AC019064.1"	0	2
"AC009414.2"	7	29
"CRIM1"	52	61
"AC007378.1"	0	1
"FEZ2"	53	65
"VIT"	4	0
"STRN"	44	35
"HEATR5B"	10	9
"GPATCH11"	28	24
"EIF2AK2"	44	56
"CEBPZOS"	71	72
"CEBPZ"	135	81
"NDUFAF7"	17	15
"PRKD3"	41	32
"QPCT"	25	18
"AC006369.1"	0	0
"CDC42EP3"	7	2
"RMDN2"	4	2
"CYP1B1"	24	21
"CYP1B1-AS1"	2	0
"ATL2"	62	46
"AC011247.1"	0	2
"HNRNPLL"	21	22
"GALM"	13	23
"AC074366.1"	0	0
"SRSF7"	815	639
"GEMIN6"	35	33
"DHX57"	11	18
"MORN2"	57	37
"ARHGEF33"	0	0
"AC019171.1"	0	0
"SOS1"	40	29
"CDKL4"	0	0
"MAP4K3"	22	11
"AC007388.1"	9	12
"TMEM178A"	1	1
"THUMPD2"	37	50
"SLC8A1-AS1"	0	0
"SLC8A1"	1	2
"C2orf91"	0	0
"PKDCC"	1	0
"EML4"	108	90
"COX7A2L"	346	345
"KCNG3"	3	3
"MTA3"	43	64
"OXER1"	1	4
"HAAO"	4	13
"LINC01819"	4	1
"LINC02580"	0	1
"ZFP36L2"	1784	1874
"LINC01126"	1	2
"AC010883.1"	2	2
"THADA"	13	15
"PLEKHH2"	19	18
"C1GALT1C1L"	2	1
"DYNC2LI1"	44	36
"ABCG8"	1	0
"LRPPRC"	77	73
"AC019129.2"	1	1
"PPM1B"	56	45
"PREPL"	29	22
"CAMKMT"	14	8
"SIX3"	0	0
